pedido_item,natureza,nome_no_back,nome_no_front,nome_no_banco,nome_em_tela,tipo_dado,formato,validacao,obrigatorio,editavel,valor_padrao,exemplo,descricao,componente_ui,origem,sap,totvs_protheus,totvs_datasul,oracle,sankhya,linx,sonda_pwci,sonda_pwce,nsi_ecomex,cargowise,thomson_onesource,bysoft,nfe_xml,sped_registro,duimp,due,lpco
Organização,sistema,id,id,id,,Uuid,,uuid v4,Sim,Não,,,ID único da organização (tenant) no sistema,hidden,SISTEMA,,,,,,,,,,,,,,,,
Organização,físico,name,nome,name,"Nome da Empresa",String,,min(1) max(200),Sim,Sim,,,Nome legal da empresa,text,MANUAL,,,,,,,,,,,,,,,,
Organização,físico,cnpj,cnpj,cnpj,CNPJ,String,,max(20),Não,Sim,,,CNPJ da empresa,text,MANUAL,,,,,,,,,,,,,,,,
Organização,físico,state,estado,state,Estado,String,,max(2),Não,Sim,,SP,Estado da empresa (UF brasileira),select,MANUAL,,,,,,,,,,,,,,,,
Organização,físico,city,cidade,city,Cidade,String,,max(100),Não,Sim,,,Cidade da empresa,select,MANUAL,,,,,,,,,,,,,,,,
Organização,físico,segment,segmento,segment,Segmento,String,,,Não,Sim,,,Segmento de negócio da empresa,select,MANUAL,,,,,,,,,,,,,,,,
Organização,físico,tipo_empresa,tipo_empresa,tipo_empresa,"Tipo de Empresa",String,,,Não,Sim,,,"Tipo da empresa (Importador, Exportador, etc.)",select,MANUAL,,,,,,,,,,,,,,,,
Organização,virtual,slug,subdominio,slug,Subdomínio,String,,,Sim,Não,,,Subdomínio da organização — exibido somente leitura,display,SISTEMA,,,,,,,,,,,,,,,,
Organização,sistema,created_at,criadaEm,created_at,"Criado em",Date,,,Sim,Não,,,Data de criação da organização,display,SISTEMA,,,,,,,,,,,,,,,,
Workspace,sistema,id,id,id,,Uuid,,,Sim,Não,,,ID único do workspace (empresa filha),hidden,SISTEMA,,,,,,,,,,,,,,,,
Workspace,físico,name,nome,name,"Nome",String,,min(1),Sim,Sim,,,Nome do workspace/filial,text,MANUAL,,,,,,,,,,,,,,,,
Workspace,físico,subdomain,subdominio,subdomain,"Subdomínio",String,"[a-z][a-z0-9-]*","min(2) max(100)",Sim,Sim,,acme-logistica-sp,URL slug único do workspace,text,MANUAL,,,,,,,,,,,,,,,,
Workspace,físico,cnpj,cnpj,cnpj,CNPJ,String,,max(20),Não,Sim,,,CNPJ da empresa filha,text,MANUAL,,,,,,,,,,,,,,,,
Workspace,físico,state,estado,state,Estado,String,,max(2),Não,Sim,,SP,Estado da filial,select,MANUAL,,,,,,,,,,,,,,,,
Workspace,físico,city,cidade,city,Cidade,String,,max(100),Não,Sim,,,Cidade da filial,select,MANUAL,,,,,,,,,,,,,,,,
Workspace,físico,segment,segmento,segment,Segmento,String,,,Não,Sim,,,Segmento de negócio da filial,select,MANUAL,,,,,,,,,,,,,,,,
Workspace,físico,site,site,site,Site,String,,url,Não,Sim,,,Site da empresa filha,text,MANUAL,,,,,,,,,,,,,,,,
Workspace,físico,status,status,status,Status,Enum,"ACTIVE|INACTIVE",,Não,Sim,ACTIVE,Ativa,Status operacional do workspace,badge,SISTEMA,,,,,,,,,,,,,,,,
Workspace,calculado,_count.memberships,usuarios,,Usuários,Number,,,Não,Não,,,Quantidade de usuários vinculados ao workspace,display,SISTEMA,,,,,,,,,,,,,,,,
Workspace,referência,,organizacao,,"Organização",String,,,Sim,Não,,,Tenant pai ao qual o workspace pertence,display,SISTEMA,,,,,,,,,,,,,,,,
Workspace,sistema,created_at,criadaEm,created_at,"Criado em",Date,,,Sim,Não,,,Data de criação do workspace,display,SISTEMA,,,,,,,,,,,,,,,,
Usuário,sistema,id,id,id,,Uuid,,uuid v4,Sim,Não,,,ID único do usuário no tenant,hidden,SISTEMA,,,,,,,,,,,,,,,,
Usuário,físico,name,nome,name,"Nome Completo",String,,min(1) max(200),Sim,Sim,,,Nome completo do usuário,text,MANUAL,,,,,,,,,,,,,,,,
Usuário,físico,email,email,email,"E-mail",String,,email max(255),Sim,Sim,,,E-mail de acesso à plataforma,email,MANUAL,,,,,,,,,,,,,,,,
Usuário,físico,role,tipo,role,"Tipo de Usuário",Enum,"MASTER|ADMIN|STANDARD|SUPPLIER",,Não,Sim,STANDARD,Standard,Perfil de acesso do usuário no tenant,select,MANUAL,,,,,,,,,,,,,,,,
Usuário,físico,is_active,status,is_active,Status,Enum,"Ativo|Inativo",,Não,Sim,true,Ativo,Status do usuário (ativo/inativo),badge/toggle,MANUAL,,,,,,,,,,,,,,,,
Usuário,sistema,created_at,created_at,created_at,,DateTime,,,Sim,Não,,,Data de criação do usuário,hidden,SISTEMA,,,,,,,,,,,,,,,,
"Usuário / Memberships",sistema,id,id,id,,Uuid,,,Sim,Não,,,ID do vínculo usuário-workspace,hidden,SISTEMA,,,,,,,,,,,,,,,,
